Index,Unipolar,Bipolar,LAT,Impedance,A1,A2,A2-A1,SCI,ICL,ACL,Force,Paso
    2591 ,1.02693,0.72655,78.38751,140.94293,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.09538,-10000.00000
    2592 ,1.39750,0.53883,-20.46993,124.99943,-10000.00000,-11.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.03882,-10000.00000
    2593 ,1.02964,0.65063,79.51184,142.49615,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.06586,-10000.00000
    2594 ,0.92170,0.64701,80.45257,142.06158,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.29712,-10000.00000
    2595 ,0.97575,0.72420,78.09971,138.35741,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.03705,-10000.00000
    2596 ,1.01863,0.78246,70.17800,138.12854,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.30369,-10000.00000
    2597 ,0.62914,0.22932,20.73170,128.75578,-10000.00000,34.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.63832,-10000.00000
    2598 ,1.04108,0.77250,75.27679,139.43610,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.09605,-10000.00000
    2599 ,0.53554,0.30482,-81.99514,139.02153,-10000.00000,-73.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.69011,-10000.00000
    2600 ,1.12805,0.88343,70.78952,138.11836,-10000.00000,65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.70650,-10000.00000
    2601 ,0.94212,0.72240,79.68303,140.20000,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.78351,-10000.00000
    2602 ,1.06914,0.72818,77.88436,140.80151,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.65333,-10000.00000
    2603 ,0.97576,0.73130,76.46017,137.25320,-10000.00000,77.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.86803,-10000.00000
    2604 ,0.66792,0.36037,48.99352,135.08566,-10000.00000,70.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,13.59117,-10000.00000
    2605 ,0.74100,0.49800,-12.00000,132.00000,-10000.00000,-12.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.00000,-10000.00000
    2606 ,0.91200,0.26100,74.00000,133.00000,-10000.00000,74.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,17.00000,-10000.00000
    2607 ,1.80667,0.53023,-21.08269,130.18452,-10000.00000,-22.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.65319,-10000.00000
    2608 ,0.65965,0.41224,-28.87500,134.70647,-10000.00000,-67.50000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.38863,-10000.00000
