Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
     162 ,22.711,-40.117,136.792,0.03106,0.43581,0.89950,0
     163 ,26.629,-38.150,135.838,0.03585,0.32406,0.94536,0
     164 ,65.379,-23.750,106.724,0.59354,-0.80459,0.01877,0
     165 ,67.693,-19.217,109.124,0.89222,0.40091,0.20789,0
     166 ,34.088,-73.458,132.268,0.47973,-0.69143,0.54017,0
     167 ,-20.978,-54.605,84.777,-0.69516,-0.71310,0.09078,0
     168 ,-11.407,-50.988,81.337,0.71545,-0.09245,-0.69252,0
     169 ,18.599,-82.551,109.272,-0.40127,-0.91453,-0.05123,0
     170 ,41.272,-60.958,139.305,0.22001,-0.15959,0.96236,0
     171 ,-21.994,-49.690,78.649,-0.99907,-0.00726,0.04241,0
     172 ,68.074,-20.801,109.321,0.98333,0.02775,0.17968,0
     173 ,-14.421,-55.838,104.843,-0.85255,-0.49844,0.15720,0
     174 ,46.685,-20.894,107.173,-0.23555,0.78691,0.57035,0
     175 ,58.221,-59.245,109.242,0.47036,-0.83549,0.28410,0
     176 ,-19.658,-48.332,100.930,-0.81367,-0.57595,0.07889,0
     177 ,-20.894,-47.988,88.797,-0.98555,0.15501,0.06827,0
     178 ,67.573,-22.188,109.372,0.40740,-0.61074,0.67899,0
     179 ,-2.539,-27.087,103.128,-0.18642,0.89557,-0.40398,0
     180 ,36.915,-69.816,134.461,0.56880,-0.70775,0.41900,0
     181 ,46.983,-32.688,86.684,0.05426,0.79912,-0.59872,0
     182 ,60.767,-27.728,102.956,0.45718,-0.64099,-0.61653,0
     183 ,-11.735,-41.504,88.636,0.22896,0.91426,-0.33423,0
     184 ,-2.830,-69.747,116.302,-0.54498,-0.83845,-0.00018,0
     185 ,31.083,-28.044,120.849,-0.17147,0.97191,0.16120,0
     186 ,57.478,-27.061,102.350,-0.13338,-0.45690,-0.87946,0
     187 ,33.821,-71.994,96.108,0.04344,-0.48396,-0.87401,0
     188 ,9.648,-67.997,128.477,-0.59799,-0.29609,0.74481,0
     189 ,23.294,-71.136,95.880,-0.09827,-0.39632,-0.91284,0
     190 ,59.165,-16.625,103.330,-0.37883,0.79147,-0.47964,0
     191 ,-0.480,-65.889,122.122,-0.52466,-0.25925,0.81087,0
     192 ,64.883,-14.190,104.129,0.40077,0.91139,-0.09355,0
     193 ,60.990,-50.960,121.861,0.94142,-0.22297,0.25300,0
     194 ,65.616,-15.777,102.534,0.68352,0.34548,-0.64300,0
     195 ,57.884,-16.718,105.336,-0.41587,0.90913,0.02338,0
     196 ,66.758,-22.201,106.532,0.90883,-0.22363,-0.35217,0
     197 ,41.121,-48.197,87.179,-0.70345,-0.11808,-0.70087,0
     198 ,66.412,-22.844,106.525,0.72994,-0.60712,-0.31399,0
     199 ,13.377,-55.235,135.686,-0.39133,-0.18385,0.90170,0
