BlankMeshes/OC59/Index,X,Y,Z
191,-689.8655273749575,-65992.70018087009,122446.34970773401
192,65043.30987124241,-13825.444828158841,104091.57979334502
193,61366.56824401478,-51049.18981237994,121962.20046920475
194,65889.40859777981,-15638.809365445415,102276.80146349272
195,57717.654222053236,-16354.349595895925,105345.35231277434
196,67121.53107618079,-22290.45226209246,106391.13322088805
197,40839.619135832756,-48244.23084126844,86898.65368396648
198,66703.97671896046,-23086.84853187405,106399.4046730499
199,13220.466238263496,-55308.53846516745,136046.67890924955
200,44951.92480964127,-19017.786595412283,102871.4469995978
201,-17240.01137157471,-21363.586152253294,120778.60728307917
202,67035.76489329945,-22977.062936469614,107046.81683348079
203,9620.4555979434,-26004.90689944214,104831.06183185133
204,50116.33857587244,-24813.736164614606,115395.72720752157
205,-7810.80036947774,-63746.55550873306,116344.85711729237
206,-10021.364122547375,-58623.750447329825,112468.35033745089
207,-7340.196148880921,-27564.85978222807,118768.95386004493
208,60282.58718681329,-15486.930891130589,106773.79377005859
209,-11935.327493548179,-28105.77665798359,106073.07368553504
210,40656.91272320877,-63026.89664375247,91427.76227474755
211,35441.96230933015,-49526.3857990763,139071.32102009433
212,42398.69158618249,-72745.2665365369,97489.56632415278
213,61422.72243255459,-55874.41082989504,115416.41128386871
214,38586.237901279164,-45186.59196215126,88383.00836909802
215,-19041.151276649838,-50292.27364328096,76036.20707520744
216,-16897.35966935903,-46021.38371116562,77310.56077270706
217,52186.888073249385,-64993.37347037104,110245.8318790086
218,59066.79771998714,-15698.140995282527,105971.92043585748
219,41385.29884475503,-71260.52526096138,95820.13817425647
220,11551.449600381702,-75972.66190463293,123299.97547598592
221,51319.74382532875,-23449.68250581158,114030.25711504681
222,28996.080319881246,-77132.28194348435,98826.99500826804
223,-21905.28315953408,-47762.88776349651,83439.35355167653
224,-18251.686169097145,-42061.042971340416,99741.23680762021
225,61284.05532035271,-14467.631717393213,104912.15107577671
226,67540.7242022586,-22638.597933715097,107724.65221615261
227,62242.2086436016,-14532.300198025496,102507.96921548163
228,67751.99679465962,-21123.797306562108,107234.69292208806
229,6566.073294856742,-73478.68538825164,124630.22713838723
230,37362.361655255045,-77140.84930291968,100262.16036757654
231,51868.35536286814,-44825.87923710157,75980.36677707625
232,10536.497946262569,-68490.04337803292,129581.06591448814
233,45863.827529085196,-46812.04938078762,81792.39602125406
234,64620.443995406546,-14225.382489607166,102636.86220200613
235,50731.85901986219,-26695.799440892963,117539.58289032622
236,39178.34838989597,-23812.736628094895,100958.56808129289
237,5187.778034062681,-36953.48335787086,129981.11498586781
238,44652.75536661994,-74192.4277051952,116468.23620466184
239,67726.00898803404,-18718.367064469752,107584.58626573996
240,12462.457817245459,-50745.64837028587,90413.37918508273
241,65572.53771573832,-23494.365944157937,108927.18422757478
242,34692.02219543805,-79065.08376970189,126182.56852012876
243,61558.096727810866,-55863.22797008814,104848.1583492224
