Points_0,Points_1,Points_2,Points_Magnitude,meshID
53873.6,-22096.6,101086,116658,5018
54239.2,-23085.6,101447,117330,5019
53151.1,-22714.5,101057,116420,5020
53050.7,-23371.6,101424,116822,5021
52878.9,-47248.8,77990.9,105410,5022
53457.8,-46725.8,78625.5,105939,5023
52834.8,-47467.1,78715.6,106023,5024
53131.6,-47172.9,79732.3,106796,5025
53770.2,-46958.1,79344.2,106732,5026
52372.7,-47551.1,79559,106460,5027
53702.5,-46480.4,80835.6,107605,5028
53876.8,-47015.5,80075,107355,5029
60647.6,-24166.9,110177,128067,5078
59907.1,-25297.4,109639,127474,5079
60878.2,-24489.5,109267,127457,5080
59820.8,-26376.3,109181,127259,5081
59798.3,-24634.9,110609,128129,5082
62015.8,-25648.2,103341,123220,5102
62551.8,-25253,103772,123770,5103
62221.3,-25991.7,104259,124165,5104
62845.1,-25589.6,104782,124834,5105
63025.1,-25079,104365,124472,5106
62373.4,-24906.5,102706,122716,5107
63360,-24174.5,102241,122687,5108
62998.1,-24672.2,103576,123715,5109
63314.9,-24640.2,102871,123282,5110
43616.7,-20827.6,103109,113876,5178
58059.7,-37419.7,103996,124845,5199
58175.3,-38398.8,103615,124880,5200
57870.9,-39307.5,103128,124617,5201
48720.8,-50394.9,87104.7,111806,5223
49129.4,-50123.8,86398.2,111314,5224
48708.2,-49251.9,85633.6,110142,5225
54014.5,-45933.8,80174.4,107030,5226
53689.3,-46181.1,79581.7,106529,5227
56480.6,-24036.2,100891,118097,5239
57311.3,-23851.8,100520,118143,5240
53397,-43954.4,94925.8,117448,5286
53269.2,-44260.2,93982.8,116745,5287
52979.8,-44994.9,94093.6,116983,5288
52277.8,-44780.6,92341.6,115175,5289
52902.2,-45905.8,93570.5,116882,5290
52637.6,-45181.1,93196.2,116179,5291
52513,-44438.1,93203.1,115841,5292
